Date,MSFT,MSFT,MSFT,MSFT,MSFT
2016-08-18,51.65250778198242,51.74218432952134,51.35658372713025,51.49109341722287,14214300
2016-08-19,51.670448303222656,51.769090805059776,51.293817028001854,51.50006797692908,17271000
2016-08-22,51.71527862548828,51.78701986209145,51.347613339923164,51.65250675386573,15221900
2016-08-23,51.91255569458008,52.17261250642182,51.87668508174468,51.92152505819389,18732400
2016-08-24,51.96636962890625,52.047076809828866,51.76011870450633,51.83185652043174,18151500
2016-08-25,52.16365051269531,52.27126236640533,51.813920540163764,51.90359708492211,18552600
2016-08-26,52.03811264038086,52.638933585193804,51.73321919543343,52.26229889634778,20971200
2016-08-29,52.10087585449219,52.54924829186582,52.10087585449219,52.172617086460875,16417200
2016-08-30,51.91255569458008,52.18157844922571,51.66146824635215,51.99326286305476,16930200
2016-08-31,51.5269660949707,51.83185952716387,51.38348703398631,51.69734983169699,20860300
2016-09-01,51.64353561401367,51.8497865172819,51.12342196339893,51.12342196339893,26075400
2016-09-02,51.71527862548828,52.18158640097752,51.491092392319054,51.71527862548828,18900500
2016-09-06,51.66147994995117,51.83186026830306,51.30278058195585,51.81392495782222,16278400
2016-09-07,51.70631408691406,51.86772845284867,51.48212784765051,51.53593377656555,17493400
2016-09-08,51.500064849853516,51.82289359233258,51.27587860322201,51.679414531320845,20146100
2016-09-09,50.40603256225586,51.580769672275615,50.40603256225586,50.926146272600796,35113900
2016-09-12,51.159297943115234,51.30277699612268,49.8679864660482,50.2177164439532,29303000
2016-09-13,50.692989349365234,50.800601202995864,50.26255219727391,50.66608809636278,30130200
2016-09-14,50.450862884521484,50.78266093627439,50.2446119830808,50.56744067083494,24062500
2016-09-15,51.28484344482422,51.42832250274981,50.19978285546131,50.35223127871319,26847000
2016-09-16,51.33864974975586,51.679413797624875,50.890277262858426,51.679413797624875,44607000
2016-09-19,51.05168914794922,51.787019717019554,50.97994791154703,51.35658256103768,20937100
2016-09-20,50.9440803527832,51.42832001182132,50.89027442586323,51.42832001182132,17384000
2016-09-21,51.795982360839844,51.87668953624461,51.18619899432739,51.57179614258328,33707300
2016-09-22,51.849788665771484,52.01120301776731,51.679408370136,51.93946178540906,19822200
2016-09-23,51.500064849853516,51.930502032888725,51.45522828468935,51.89463141243313,19955300
2016-09-26,51.0247802734375,51.23999710887757,50.962008411366654,51.18619461042251,21688700
2016-09-27,51.96636962890625,52.06501211901283,50.827503151802865,51.05168938538675,28065100
2016-09-28,52.03811264038086,52.06501731724823,51.71528388445878,51.90360293928719,20536400
2016-09-29,51.47315979003906,52.163650368309895,51.30277606587501,51.84082507050461,25463500
